shotgun_species,valencia_taxon,method
Brevibacterium paucivorans,g_Brevibacterium,genus
Brevibacterium ravenspurgense,g_Brevibacterium,genus
Brevibacterium sp. HMSC22B09,g_Brevibacterium,genus
Bulleidia extructa,g_Bulleidia,genus
Campylobacter gracilis,g_Campylobacter,genus
Campylobacter hominis,g_Campylobacter,genus
Campylobacter sputorum,g_Campylobacter,genus
Campylobacter ureolyticus,g_Campylobacter,genus
Catonella morbi,g_Catonella,genus
Citrobacter freundii,g_Citrobacter,genus
Citrobacter koseri,g_Citrobacter,genus
Citrobacter youngae,g_Citrobacter,genus
Collinsella vaginalis,g_Collinsella,genus
Corynebacterium accolens,g_Corynebacterium,genus
Corynebacterium amycolatum,g_Corynebacterium,genus
Corynebacterium appendicis,g_Corynebacterium,genus
Corynebacterium aurimucosum,g_Corynebacterium,genus
Corynebacterium coyleae,g_Corynebacterium,genus
Corynebacterium fournierii,g_Corynebacterium,genus
Corynebacterium genitalium,g_Corynebacterium,genus
Corynebacterium glucuronolyticum,g_Corynebacterium,genus
Corynebacterium glutamicum,g_Corynebacterium,genus
Corynebacterium jeikeium,g_Corynebacterium,genus
Corynebacterium kroppenstedtii,g_Corynebacterium,genus
Corynebacterium lactis,g_Corynebacterium,genus
Corynebacterium lipophiloflavum,g_Corynebacterium,genus
Corynebacterium matruchotii,g_Corynebacterium,genus
Corynebacterium minutissimum,g_Corynebacterium,genus
Corynebacterium mucifaciens,g_Corynebacterium,genus
Corynebacterium otitidis,g_Corynebacterium,genus
Corynebacterium pseudodiphtheriticum,g_Corynebacterium,genus
Corynebacterium pseudogenitalium,g_Corynebacterium,genus
Corynebacterium pyruviciproducens,g_Corynebacterium,genus
Corynebacterium riegelii,g_Corynebacterium,genus
Corynebacterium singulare,g_Corynebacterium,genus
Corynebacterium sp. HMSC062E11,g_Corynebacterium,genus
Corynebacterium sp. HMSC068H04,g_Corynebacterium,genus
Corynebacterium striatum,g_Corynebacterium,genus
Corynebacterium tuscaniense,g_Corynebacterium,genus
Corynebacterium urealyticum,g_Corynebacterium,genus
Corynebacterium urinapleomorphum,g_Corynebacterium,genus
Corynebacterium xerosis,g_Corynebacterium,genus
Delftia tsuruhatensis,g_Delftia,genus
Dermabacter hominis,g_Dermabacter,genus
Dermabacter vaginalis,g_Dermabacter,genus
Dialister invisus,g_Dialister,genus
Dialister micraerophilus,g_Dialister,genus
Dialister pneumosintes,g_Dialister,genus
Dorea longicatena,g_Dorea,genus
Enterobacter asburiae,g_Enterobacter,genus
Enterobacter cloacae,g_Enterobacter,genus
Enterococcus avium,g_Enterococcus,genus
Enterococcus durans,g_Enterococcus,genus
Enterococcus faecalis,g_Enterococcus,genus
Enterococcus faecium,g_Enterococcus,genus
Enterococcus hirae,g_Enterococcus,genus
Escherichia coli,g_Escherichia.Shigella,genus
Escherichia fergusonii,g_Escherichia.Shigella,genus
Escherichia sp. KTE114,g_Escherichia.Shigella,genus
Ezakiella coagulans,g_Ezakiella,genus
Ezakiella massiliensis,g_Ezakiella,genus
Facklamia hominis,g_Facklamia,genus
Facklamia ignava,g_Facklamia,genus
Faecalibacterium prausnitzii,g_Faecalibacterium,genus
Fannyhessea vaginae,Atopobium_vaginae,synonym
Finegoldia magna,g_Finegoldia,genus
Fusobacterium gonidiaformans,g_Fusobacterium,genus
Fusobacterium necrophorum,g_Fusobacterium,genus
Fusobacterium nucleatum,g_Fusobacterium,genus
Fusobacterium periodonticum,g_Fusobacterium,genus
Gardnerella vaginalis,Gardnerella_vaginalis,species
Gemella asaccharolytica,g_Gemella,genus
Gemella bergeri,g_Gemella,genus
Gemella haemolysans,g_Gemella,genus
Gemella morbillorum,g_Gemella,genus
Gemella sanguinis,g_Gemella,genus
Globicatella sanguinis,g_Globicatella,genus
Granulicatella elegans,g_Granulicatella,genus
Haemophilus haemolyticus,g_Haemophilus,genus
Haemophilus influenzae,g_Haemophilus,genus
Haemophilus parahaemolyticus,g_Haemophilus,genus
Haemophilus parainfluenzae,g_Haemophilus,genus
Jonquetella anthropi,g_Jonquetella,genus
Klebsiella aerogenes,g_Klebsiella,genus
Klebsiella oxytoca,g_Klebsiella,genus
Klebsiella pneumoniae,g_Klebsiella,genus
Lachnoclostridium phocaeense,g_Lachnoclostridium,genus
Lachnospira eligens,g_Lachnospira,genus
Lactiplantibacillus plantarum,g_Lactobacillus,lacto_reclass
Lactobacillus acidophilus,g_Lactobacillus,genus
Lactobacillus amylovorus,g_Lactobacillus,genus
Lactobacillus casei,g_Lactobacillus,genus
Lactobacillus coleohominis,Lactobacillus_coleohominis,species
Lactobacillus crispatus,Lactobacillus_crispatus,species
Lactobacillus curvatus,g_Lactobacillus,genus
Lactobacillus delbrueckii,Lactobacillus_delbrueckii,species
Lactobacillus gasseri,Lactobacillus_gasseri,species
Lactobacillus helveticus,g_Lactobacillus,genus
Lactobacillus iners,Lactobacillus_iners,species
Lactobacillus jensenii,Lactobacillus_jensenii,species
Lactobacillus johnsonii,g_Lactobacillus,genus
Lactobacillus kefiranofaciens,Lactobacillus_kefiranofaciens,species
Lactobacillus kitasatonis,g_Lactobacillus,genus
Lactobacillus mucosae,g_Lactobacillus,genus
Lactobacillus mulieris,Lactobacillus_crispatus,synonym
Lactobacillus reuteri,Lactobacillus_reuteri,species
Lactobacillus rhamnosus,g_Lactobacillus,genus
Lactobacillus ruminis,g_Lactobacillus,genus
Lactobacillus vaginalis,g_Lactobacillus,genus
Lactococcus lactis,g_Lactococcus,genus
Leptotrichia buccalis,g_Leptotrichia,genus
Ligilactobacillus salivarius,g_Lactobacillus,lacto_reclass
Limosilactobacillus fermentum,g_Lactobacillus,lacto_reclass
Limosilactobacillus oris,g_Lactobacillus,lacto_reclass
Limosilactobacillus sp. c9Ua_26_M,g_Lactobacillus,lacto_reclass
Mageeibacillus indolicus,BVAB2/BVAB3,synonym
Megasphaera genomosp. type_2,g_Megasphaera,genus
Megasphaera micronuciformis,g_Megasphaera,genus
Megasphaera sp. UPII 199-6,g_Megasphaera,genus
Micrococcus luteus,g_Micrococcus,genus
Mobiluncus curtisii,g_Mobiluncus,genus
Mobiluncus mulieris,g_Mobiluncus,genus
Mogibacterium timidum,g_Mogibacterium,genus
Murdochiella vaginalis,g_Murdochiella,genus
Mycoplasma fermentans,g_Mycoplasma,genus
Mycoplasma genitalium,g_Mycoplasma,genus
Mycoplasma hominis,g_Mycoplasma,genus
Mycoplasma salivarium,g_Mycoplasma,genus
Negativicoccus succinicivorans,g_Negativicoccus,genus
Neisseria elongata,g_Neisseria,genus
Neisseria gonorrhoeae,g_Neisseria,genus
Neisseria lactamica,g_Neisseria,genus
Neisseria meningitidis,g_Neisseria,genus
Neisseria mucosa,g_Neisseria,genus
Neisseria polysaccharea,g_Neisseria,genus
Neisseria subflava,g_Neisseria,genus
Oligella urethralis,g_Oligella,genus
Olsenella uli,g_Olsenella,genus
Olsenella urininfantis,g_Olsenella,genus
Parabacteroides merdae,g_Parabacteroides,genus
Parvimonas micra,g_Parvimonas,genus
Parvimonas sp. KA00067,g_Parvimonas,genus
Pediococcus acidilactici,g_Pediococcus,genus
Pediococcus pentosaceus,g_Pediococcus,genus
Peptococcus niger,g_Peptococcus,genus
Peptoniphilus coxii,g_Peptoniphilus,genus
Peptoniphilus harei,g_Peptoniphilus,genus
Peptoniphilus indolicus,g_Peptoniphilus,genus
Peptoniphilus lacrimalis,g_Peptoniphilus,genus
Peptoniphilus pacaensis,g_Peptoniphilus,genus
Peptoniphilus raoultii,g_Peptoniphilus,genus
Peptoniphilus sp. DNF00840,g_Peptoniphilus,genus
Peptoniphilus urinimassiliensis,g_Peptoniphilus,genus
Peptoniphilus vaginalis,g_Peptoniphilus,genus
Peptostreptococcus anaerobius,g_Peptostreptococcus,genus
Peptostreptococcus stomatis,g_Peptostreptococcus,genus
Porphyromonas asaccharolytica,g_Porphyromonas,genus
Porphyromonas bennonis,g_Porphyromonas,genus
Porphyromonas catoniae,g_Porphyromonas,genus
Porphyromonas endodontalis,g_Porphyromonas,genus
Porphyromonas gingivalis,g_Porphyromonas,genus
Porphyromonas levii,g_Porphyromonas,genus
Porphyromonas somerae,g_Porphyromonas,genus
Porphyromonas uenonis,g_Porphyromonas,genus
Prevotella amnii,Prevotella_amnii,species
Prevotella baroniae,g_Prevotella,genus
Prevotella bergensis,Prevotella_bergensis,species
Prevotella bivia,Prevotella_bivia,species
Prevotella buccae,g_Prevotella,genus
Prevotella buccalis,Prevotella_buccalis,species
Prevotella colorans,Prevotella_colorans,species
Prevotella copri,Prevotella_copri,species
Prevotella corporis,Prevotella_corporis,species
Prevotella dentalis,g_Prevotella,genus
Prevotella denticola,Prevotella_denticola,species
Prevotella disiens,Prevotella_disiens,species
Prevotella histicola,Prevotella_histicola,species
Prevotella intermedia,g_Prevotella,genus
Prevotella lascolaii,g_Prevotella,genus
Prevotella loescheii,g_Prevotella,genus
Prevotella marshii,g_Prevotella,genus
Prevotella melaninogenica,Prevotella_melaninogenica,species
Prevotella micans,g_Prevotella,genus
Prevotella nigrescens,g_Prevotella,genus
Prevotella oralis,g_Prevotella,genus
Prevotella oris,Prevotella_oris,species
Prevotella pleuritidis,g_Prevotella,genus
Prevotella ruminicola,g_Prevotella,genus
Prevotella shahii,g_Prevotella,genus
Prevotella stercorea,Prevotella_stercorea,species
Prevotella timonensis,Prevotella_timonensis,species
Prevotella veroralis,Prevotella_veroralis,species
Propionimicrobium lymphophilum,g_Propionimicrobium,genus
Ralstonia pickettii,g_Ralstonia,genus
Roseburia intestinalis,g_Roseburia,genus
Roseburia inulinivorans,g_Roseburia,genus
Rothia mucilaginosa,g_Rothia,genus
Serratia marcescens,g_Serratia,genus
Shigella boydii,g_Escherichia.Shigella,genus
Shigella flexneri,g_Escherichia.Shigella,genus
Shigella sonnei,g_Escherichia.Shigella,genus
Slackia exigua,g_Slackia,genus
Sneathia amnii,Sneathia_amnii,species
Sneathia sanguinegens,Sneathia_sanguinegens,synonym
Solobacterium moorei,g_Solobacterium,genus
Staphylococcus argenteus,g_Staphylococcus,genus
Staphylococcus aureus,g_Staphylococcus,genus
Staphylococcus auricularis,g_Staphylococcus,genus
Staphylococcus capitis,g_Staphylococcus,genus
Staphylococcus caprae,g_Staphylococcus,genus
Staphylococcus epidermidis,g_Staphylococcus,genus
Staphylococcus equorum,g_Staphylococcus,genus
Staphylococcus haemolyticus,g_Staphylococcus,genus
Staphylococcus hominis,g_Staphylococcus,genus
Staphylococcus hyicus,g_Staphylococcus,genus
Staphylococcus lugdunensis,g_Staphylococcus,genus
Staphylococcus saprophyticus,g_Staphylococcus,genus
Staphylococcus sciuri,g_Staphylococcus,genus
Staphylococcus simulans,g_Staphylococcus,genus
Staphylococcus warneri,g_Staphylococcus,genus
Stenotrophomonas maltophilia,g_Stenotrophomonas,genus
Streptococcus agalactiae,g_Streptococcus,genus
Streptococcus anginosus,g_Streptococcus,genus
Streptococcus australis,g_Streptococcus,genus
Streptococcus constellatus,g_Streptococcus,genus
Streptococcus equinus,g_Streptococcus,genus
Streptococcus gallolyticus,g_Streptococcus,genus
Streptococcus infantis,g_Streptococcus,genus
Streptococcus intermedius,g_Streptococcus,genus
Streptococcus lutetiensis,g_Streptococcus,genus
Streptococcus mitis,g_Streptococcus,genus
Streptococcus mutans,g_Streptococcus,genus
Streptococcus oralis,g_Streptococcus,genus
Streptococcus parasanguinis,g_Streptococcus,genus
Streptococcus phocae,g_Streptococcus,genus
Streptococcus pneumoniae,g_Streptococcus,genus
Streptococcus porcinus,g_Streptococcus,genus
Streptococcus pseudopneumoniae,g_Streptococcus,genus
Streptococcus pseudoporcinus,g_Streptococcus,genus
Streptococcus pyogenes,g_Streptococcus,genus
Streptococcus salivarius,g_Streptococcus,genus
Streptococcus sanguinis,g_Streptococcus,genus
Streptococcus thermophilus,g_Streptococcus,genus
Streptococcus uberis,g_Streptococcus,genus
Streptococcus urinalis,g_Streptococcus,genus
Sutterella wadsworthensis,g_Sutterella,genus
Trueperella bernardiae,g_Trueperella,genus
Ureaplasma parvum,g_Ureaplasma,genus
Ureaplasma urealyticum,g_Ureaplasma,genus
Varibaculum cambriense,g_Varibaculum,genus
Variovorax paradoxus,g_Variovorax,genus
Veillonella atypica,g_Veillonella,genus
Veillonella dispar,g_Veillonella,genus
Veillonella montpellierensis,g_Veillonella,genus
Veillonella parvula,g_Veillonella,genus
Veillonella seminalis,g_Veillonella,genus
Veillonella sp. DNF00869,g_Veillonella,genus
