Section,Dataset name,SRA / ENA ID(s),Type of sequencing,Platform,Size,Dataset overview / context,Associated metadata,Geographical origin,First public
Metagenomic (shotgun),Metagenomic sequencing of the human vaginal microbiome during pregnanc,PRJNA639592,WGS (shotgun) (197),ILLUMINA,197 samples / 197 runs / ~24 Gbp,Metagenomic sequencing of the vaginal microbiome during pregnancy.,Moderate (1 sample attributes); mostly identifiers/technical fields,Not documented in SRA,2020-06-28
"Metagenomic — WGA (whole-genome amplification, not conventional shotgun)",Human vaginal microbiome in healthy women in Sweden,PRJEB72779,WGA (whole-genome amplification) (177),DNBSEQ,177 samples / 177 runs / ~405 Gbp,Vaginal microbiome of healthy women in Sweden (shotgun).,Rich (1 sample attributes): incl. gestational age,Sweden,2024-03-01
"Metagenomic — WGA (whole-genome amplification, not conventional shotgun)",Human vaginal microbiome in cervical dysplasia and healthy controls,PRJEB72778,WGA (whole-genome amplification) (177),DNBSEQ,177 samples / 177 runs / ~506 Gbp,"Vaginal microbiome in cervical dysplasia vs healthy controls (Sweden, shotgun).",Rich (1 sample attributes): incl. gestational age,Sweden,2024-03-01
Metagenomic (shotgun),65 samples of cervical cancer patients and 54 samples of healthy contr,PRJNA725946,WGS (shotgun) (119),ILLUMINA,119 samples / 119 runs / ~2 Gbp,"Cervical cancer patients vs healthy controls (China, shotgun).",Moderate (1 sample attributes); mostly identifiers/technical fields,China,2021-04-30
Metagenomic (shotgun),Impact of LACTIN-V on the vaginal microbiota,PRJNA1090602,WGS (shotgun) (109),ILLUMINA,109 samples / 109 runs / ~7 Gbp,Interventional: impact of LACTIN-V (L. crispatus CTV-05 live biotherapeutic) on the vaginal microbiota.,Minimal — MIMS environmental fields only (no clinical metadata in SRA),USA,2024-03-30
Metagenomic (shotgun),Gardnerella diversity by metagenomic sequencing in the vaginal microbi,PRJNA1086504,WGS (shotgun) (107),ILLUMINA,107 samples / 107 runs / ~45 Gbp,Gardnerella strain-level diversity by metagenomic sequencing.,"Rich (21 sample attributes): incl. age, delivery mode, ethnicity, pH, race",USA,2024-03-30
Metagenomic (shotgun),Exploring the Impact of Vaginal Microbiota Composition on the Health o,PRJNA1127777,WGS (shotgun) (102),DNBSEQ; ILLUMINA,102 samples / 102 runs / ~1036 Gbp,Exploring the Impact of Vaginal Microbiota Composition on the Health of Chinese Pregnant Women,Moderate (1 sample attributes); mostly identifiers/technical fields,Not documented in SRA,2025-05-21
"Metagenomic — WGA (whole-genome amplification, not conventional shotgun)",vagin metagenome,PRJNA1198375,WGA (whole-genome amplification) (95),BGISEQ,95 samples / 95 runs / ~196 Gbp,vagin metagenome,Minimal — MIMS environmental fields only (no clinical metadata in SRA),China,2024-12-16
Metagenomic (shotgun),Microbial Dysregulation in Recurrent Urinary Tract Infection: Gut and ,PRJNA1133690,WGS (shotgun) (92),ILLUMINA,92 samples / 92 runs / ~865 Gbp,Microbial Dysregulation in Recurrent Urinary Tract Infection: Gut and Vaginal Microbiome Profiling,Moderate (1 sample attributes); mostly identifiers/technical fields,Spain,2025-06-01
Metagenomic (shotgun),Sexually Transmitted Infection Network Graph,PRJNA798061,WGS (shotgun) (78),ILLUMINA,78 samples / 78 runs / ~277 Gbp,Sexually Transmitted Infection Network Graph,Moderate (1 sample attributes); mostly identifiers/technical fields,USA,2022-03-05
Metagenomic (shotgun),The role of maternal exposures on commensal microbes,PRJNA725597,WGS (shotgun) (69),ILLUMINA,69 samples / 69 runs / ~8 Gbp,The role of maternal exposures on commensal microbes,Rich (3 sample attributes): incl. longitudinal timepoint,Sweden,2021-05-10
Metagenomic (shotgun),metagenomic studies of vaginal microbiome in HPV16 infection,PRJNA576566,WGS (shotgun) (66),ILLUMINA,66 samples / 66 runs / ~473 Gbp,Metagenomics of vaginal microbiome in HPV16 infection (China).,Minimal — MIMS environmental fields only (no clinical metadata in SRA),China,2020-01-29
Metagenomic (shotgun),Cervical microbiome shifts in cervical intraepithelial neoplasia and c,PRJDB39021,WGS (shotgun) (50),ILLUMINA,50 samples / 50 runs / ~8 Gbp,Cervical microbiome shifts in cervical intraepithelial neoplasia and cancer revealed by species-resolved low-coverage whole genome sequencing (PRJCA041150),Moderate (4 sample attributes); mostly identifiers/technical fields,missing,2025-12-12
Metagenomic (shotgun),SEPSIS Human Microbiome Study,PRJEB83236,WGS (shotgun) (50),ILLUMINA,50 samples / 50 runs,SEPSIS Human Microbiome Study,"Rich (61 sample attributes): incl. age, gestational age, delivery mode, pH",Bangladesh,2025-08-12
Metagenomic (shotgun),Vaginal microbiome in women with breast cancer after receiving AI,PRJNA966136,WGS (shotgun) (50),ILLUMINA,50 samples / 50 runs / ~2 Gbp,Vaginal microbiome in women with breast cancer after receiving AI,Moderate (2 sample attributes); mostly identifiers/technical fields,Thailand,2024-06-23
Metagenomic (shotgun),WGS vaginal microbiome in women with BV,PRJNA1274191,WGS (shotgun) (49),ILLUMINA,49 samples / 49 runs / ~60 Gbp,WGS vaginal microbiome in women with BV,Moderate (3 sample attributes); mostly identifiers/technical fields,Austria,2025-06-12
Metagenomic (shotgun),Vaginal metagenome dataset of 47 healthy women,PRJEB51898,WGS (shotgun) (45),ILLUMINA,44 samples / 45 runs / ~23 Gbp,Vaginal metagenome dataset of 47 healthy women,"Rich (11 sample attributes): incl. age, gestational age",China,2022-03-24
Metagenomic (shotgun),Vaginal Microbiome,PRJNA861800,WGS (shotgun) (43),ILLUMINA,43 samples / 43 runs / ~10 Gbp,Vaginal Microbiome,Moderate (1 sample attributes); mostly identifiers/technical fields,Not documented in SRA,2022-07-27
"Metagenomic — WGA (whole-genome amplification, not conventional shotgun)",Vaginal DNA Virome of South African Adolescents,PRJNA881266,WGA (whole-genome amplification) (43),ILLUMINA,43 samples / 43 runs / ~73 Gbp,Vaginal DNA virome of South African adolescents.,"Rich (19 sample attributes): incl. contraception, ethnicity, age",South Africa,2022-10-06
Metagenomic (shotgun),PCOS microbiome,PRJNA971360,WGS (shotgun) (41),ILLUMINA,41 samples / 41 runs / ~292 Gbp,PCOS microbiome,Moderate (1 sample attributes); mostly identifiers/technical fields,China,2023-05-17
Metagenomic (shotgun),Vaginal microbiome of South African women,PRJNA767784,WGS (shotgun) (38),ILLUMINA,38 samples / 38 runs / ~63 Gbp,Vaginal microbiome of South African women.,Moderate (2 sample attributes); mostly identifiers/technical fields,South Africa,2022-11-24
Metagenomic (shotgun),Characterization of the Vaginal Microbiome in Colombian Patients with ,PRJNA1356845,WGS (shotgun) (34),DNBSEQ,34 samples / 34 runs / ~471 Gbp,Characterization of the Vaginal Microbiome in Colombian Patients with Recurrent Vulvovaginal Candidiasis,Moderate (1 sample attributes); mostly identifiers/technical fields,Colombia,2025-11-06
Metagenomic (shotgun),A highly accurate nanopore-based sequencing workflow for culture and P,PRJNA1034292,WGS (shotgun) (32),OXFORD_NANOPORE,32 samples / 32 runs / ~16 Gbp,A highly accurate nanopore-based sequencing workflow for culture and PCR-free microbial metagenomic profiling of biological samples.,Minimal — MIMS environmental fields only (no clinical metadata in SRA),Not documented in SRA,2023-11-10
Metagenomic (shotgun),Vaginal seeding in babies born by caesarean section (ECOBABe trial) - ,PRJNA701480,WGS (shotgun) (25),ILLUMINA,25 samples / 25 runs / ~14 Gbp,"ECOBABe trial: vaginal seeding in caesarean-born infants (New Zealand), shotgun.","Rich (9 sample attributes): incl. delivery mode, age, longitudinal timepoint",New Zealand,2021-06-17
Metagenomic (shotgun),Serial shotgun metagenomics sequencing of 4 women's vaginal samples wh,PRJNA707585,WGS (shotgun) (24),ILLUMINA,24 samples / 24 runs / ~22 Gbp,Serial shotgun metagenomics through incident bacterial vaginosis (US) — dense longitudinal.,"Rich (10 sample attributes): incl. contraception, ethnicity, age, Nugent score, STI status",USA,2021-03-10
Metagenomic (shotgun),Skin metagenome from antibiotics treated healthy human subjects,PRJNA604820,WGS (shotgun) (23),ILLUMINA,12 samples / 23 runs / ~7 Gbp,Skin metagenome from antibiotics treated healthy human subjects,Moderate (1 sample attributes); mostly identifiers/technical fields,USA,2021-03-05
Metagenomic (shotgun),Human vaginal microbiota Metagenome,PRJNA361427,WGS (shotgun) (19),ILLUMINA,19 samples / 19 runs,Human vaginal microbiota Metagenome,Moderate (2 sample attributes); mostly identifiers/technical fields,China,2017-04-19
Metagenomic (shotgun),Characterization of the cervicovaginal microbiome in a cohort of Afro-,PRJEB34744,WGS (shotgun) (15),ILLUMINA,15 samples / 15 runs / ~27 Gbp,Characterization of the cervicovaginal microbiome in a cohort of Afro-Caribbean women,"Rich (9 sample attributes): incl. age, gestational age",Barbados,2019-11-01
Metagenomic (shotgun),"Within-sample comparison of DNA-, RNA-, and total nucleic acid metagen",PRJNA1445946,WGS (shotgun) (12); RNA-Seq (metatranscriptome) (12); OTHER (12),ILLUMINA,12 samples / 36 runs / ~44 Gbp,"Within-sample comparison of DNA-, RNA-, and total nucleic acid metagenomic sequencing workflows in human clinical specimens",Moderate (2 sample attributes); mostly identifiers/technical fields,China,2026-06-19
Metagenomic (shotgun),"Metagenomic shotgun sequencing of endocervical, vaginal and rectal sam",PRJNA826539,WGS (shotgun) (10),ILLUMINA,10 samples / 10 runs / ~15 Gbp,"Metagenomic shotgun sequencing of endocervical, vaginal and rectal samples among Fijian women with and without Chlamydia trachomatis",Moderate (1 sample attributes); mostly identifiers/technical fields,Fiji,2022-04-20
Metagenomic (shotgun),"Metagenomes from DNA isolated from oropharyngeal swabs, stool samples,",PRJNA718445,WGS (shotgun) (7),ILLUMINA,7 samples / 7 runs / ~2 Gbp,"Metagenomes from DNA isolated from oropharyngeal swabs, stool samples, rectal swabs and vaginal secretions. Raw sequence reads",Moderate (1 sample attributes); mostly identifiers/technical fields,Canada,2021-03-31
Metagenomic (shotgun),Human papillomavirus virus isolate from vaginal secretions of pregnant,PRJNA645620,WGS (shotgun) (6),ILLUMINA,1 samples / 6 runs / ~3 Gbp,Human papillomavirus virus isolate from vaginal secretions of pregnant women Metagenome,Moderate (1 sample attributes); mostly identifiers/technical fields,China,2020-07-13
Metagenomic (shotgun),WGS of Lactobacillus species isolated from vagina (Mumbai),PRJNA841837,WGS (shotgun) (5),ILLUMINA,5 samples / 5 runs / ~2 Gbp,WGS of Lactobacillus species isolated from vagina (Mumbai),Moderate (1 sample attributes); mostly identifiers/technical fields,India,2023-12-02
Metagenomic (shotgun),Putative amylases in the human vagina,PRJNA631294,WGS (shotgun) (4),ILLUMINA,4 samples / 4 runs / ~94 Gbp,Putative amylases in the human vagina,"Rich (8 sample attributes): incl. age, race",USA,2020-11-17
"Metagenomic — WGA (whole-genome amplification, not conventional shotgun)",Vaginal viromes of a Bacterial Vaginosis Patient,PRJNA421203,WGA (whole-genome amplification) (4),ILLUMINA,4 samples / 4 runs / ~1 Gbp,Vaginal viromes of a Bacterial Vaginosis Patient,Rich (4 sample attributes): incl. gestational age,France,2017-12-07
Metagenomic (shotgun),human vaginal metagenome Raw sequence reads,PRJNA1147140,WGS (shotgun) (2),ILLUMINA,2 samples / 2 runs / ~2 Gbp,human vaginal metagenome Raw sequence reads,Moderate (2 sample attributes); mostly identifiers/technical fields,Egypt,2024-08-26
Metagenomic (shotgun),PacBio_validation_for_full_length_bacterial_16S_gene,PRJEB13979,WGS (shotgun) (1),PACBIO_SMRT,1 samples / 1 runs,PacBio_validation_for_full_length_bacterial_16S_gene,Moderate (7 sample attributes); mostly identifiers/technical fields,Not documented in SRA,2016-06-07
Metagenomic (shotgun),vaginal samples Raw sequence reads,PRJNA815812,WGS (shotgun) (1),ILLUMINA,1 samples / 1 runs / ~14 Gbp,vaginal samples Raw sequence reads,Moderate (1 sample attributes); mostly identifiers/technical fields,China,2024-01-02
16S rRNA amplicon,MOMS-PI (iHMP Pregnancy Initiative),PRJNA326441,16S amplicon (9206),ILLUMINA,9206 samples / 9206 runs / ~316 Gbp,"Landmark iHMP pregnancy cohort (MOMS-PI, VMRC). Longitudinal cervicovaginal sampling in pregnant women; term vs preterm birth focus. Companion 16S, metagenomic, metatranscriptomic and cytokine data. Most-reused public vaginal cohort.",Moderate (3 sample attributes); mostly identifiers/technical fields,USA,
16S rRNA amplicon,Gajer/Ravel temporal dynamics,PRJNA208535,16S amplicon (367); WGS (shotgun) (113),ILLUMINA; LS454,454 samples / 480 runs / ~287 Gbp,Foundational Gajer/Ravel time-series: 16S + metatranscriptomics of reproductive-age women sampled ~twice weekly; defined the community-state-type (CST I–V) framework and temporal dynamics.,Moderate (2 sample attributes); mostly identifiers/technical fields,USA,2013-06-18
16S rRNA amplicon,Hormonal Contraception Longitudinal (HCL) baseline samples,PRJNA610195,16S amplicon (4303),ILLUMINA,4303 samples / 4303 runs / ~245 Gbp,"Hormonal Contraception Longitudinal (HCL) — large 16S baseline set (~4,300 samples), US.",Rich (2 sample attributes): incl. longitudinal visit,USA,2020-12-20
16S rRNA amplicon,Isala project,PRJEB50407,16S amplicon (3459),ILLUMINA,3459 samples / 3459 runs / ~60 Gbp,"Isala project: large citizen-science cross-sectional 16S survey of women in Belgium (~3,500 samples).",Minimal — MIMS environmental fields only (no clinical metadata in SRA),Belgium,2022-12-15
16S rRNA amplicon,The pregnancy vaginal microbiota in a low-risk Chinese population and ,PRJNA706523,16S amplicon (2899),ILLUMINA,2899 samples / 2899 runs / ~27 Gbp,"Pregnancy vaginal microbiota in a low-risk Chinese population (16S, ~2,900 samples).",Rich (2 sample attributes): incl. age,China,2021-09-03
16S rRNA amplicon,Replication and Refinement of a Vaginal Microbial Signature of Preterm,PRJNA393472,16S amplicon (2367),ILLUMINA,2367 samples / 2367 runs / ~210 Gbp,"Replication/refinement of a vaginal microbial signature of preterm birth (US, 16S).","Rich (19 sample attributes): incl. age, ethnicity, delivery mode, race",USA,2017-08-31
16S rRNA amplicon,Spontaneous preterm births and the vaginal microbiota,PRJNA896865,16S amplicon (1998),ILLUMINA,1998 samples / 1998 runs / ~25 Gbp,"Spontaneous preterm birth and the vaginal microbiota (US, 16S).","Rich (23 sample attributes): incl. age, BMI, community state type, gestational age, delivery mode, ethnicity, race",USA,2024-05-11
16S rRNA amplicon,Vaginal microbiome before and after childbirth,PRJNA821262,16S amplicon (1942),ILLUMINA,1942 samples / 1942 runs / ~176 Gbp,"Vaginal microbiome before and after childbirth (US, 16S) — rich obstetric metadata.","Rich (24 sample attributes): incl. age, BMI, delivery mode, ethnicity, gravidity, race",USA,2023-06-23
16S rRNA amplicon,"The vaginal microbiota of pregnant women varies with gestational age, ",PRJNA895490,16S amplicon (1862),ILLUMINA,1862 samples / 1862 runs / ~23 Gbp,"Vaginal microbiota vs gestational age (US, 16S) — CST, delivery route, GA metadata.","Rich (24 sample attributes): incl. age, BMI, community state type, gestational age, delivery mode, ethnicity, race",USA,2023-07-21
16S rRNA amplicon,Prospective study of cervicovaginal microbiome and incident Chlamydia ,PRJEB86905,16S amplicon (1456),ILLUMINA,1456 samples / 1456 runs / ~13 Gbp,Prospective cervicovaginal microbiome and incident Chlamydia (16S).,Rich (12 sample attributes): incl. gestational age,USA,2025-03-11
16S rRNA amplicon,Identifying microbial threshold levels necessary for the development a,PRJNA549339,16S amplicon (1320),ILLUMINA,1320 samples / 1320 runs / ~29 Gbp,"Identifying microbial threshold levels necessary for the development and persistence of BV using an integrated set of clinical, laboratory and modeling experiments.",Moderate (3 sample attributes); mostly identifiers/technical fields,USA,2019-08-03
16S rRNA amplicon,human vaginal Metagenome,PRJNA746243,16S amplicon (1219),ILLUMINA,1219 samples / 1219 runs / ~32 Gbp,"Vaginal metagenome, Kenyan cohort (16S).",Moderate (1 sample attributes); mostly identifiers/technical fields,Kenya,2022-10-06
16S rRNA amplicon,"Time-longitudinal vaginal microbial 16S sequencing of healthy, young w",PRJNA637322,16S amplicon (1101),ILLUMINA,1101 samples / 1101 runs / ~13 Gbp,Time-longitudinal 16S of healthy young women (US).,Moderate (3 sample attributes); mostly identifiers/technical fields,USA,2020-07-03
16S rRNA amplicon,Identification of fallopian tube microbiota and its association with o,PRJNA975142,16S amplicon (1001),ILLUMINA,1001 samples / 1001 runs / ~33 Gbp,Identification of fallopian tube microbiota and its association with ovarian cancer,Moderate (1 sample attributes); mostly identifiers/technical fields,USA,2023-11-15
16S rRNA amplicon,Temporal and Spatial Variation of the Human Microbiota During Pregnanc,PRJNA288562,16S amplicon (996); WGS (shotgun) (101),LS454; ILLUMINA,996 samples / 1097 runs / ~15 Gbp,"Temporal and spatial variation of the human microbiota during pregnancy (US, 16S).","Rich (7 sample attributes): incl. ethnicity, race",USA,2023-03-28
16S rRNA amplicon,Twice Daily Human Vaginal Sampling for Microbial Community Profiling,PRJNA1232196,16S amplicon (991),ILLUMINA,991 samples / 991 runs / ~10 Gbp,Twice Daily Human Vaginal Sampling for Microbial Community Profiling,Moderate (6 sample attributes); mostly identifiers/technical fields,Not documented in SRA,2025-03-07
16S rRNA amplicon,MG_baby timeseries,PRJEB36857,16S amplicon (888),ILLUMINA,888 samples / 888 runs / ~12 Gbp,MG_baby timeseries,"Rich (73 sample attributes): incl. age, STI status, race, pH","USA, Chile, Bolivia, Puerto Rico",2020-02-20
16S rRNA amplicon,Microbial composition in the vagina in early pregnancy associated with,PRJEB41427,16S amplicon (884),ILLUMINA,884 samples / 884 runs / ~18 Gbp,"Vaginal composition in early pregnancy and preterm birth (UK, 16S).","Rich (12 sample attributes): incl. age, gestational age",United Kingdom,2021-09-09
16S rRNA amplicon,Exploring the maternal LEGACY during infant stool microbiome developme,PRJNA824125,16S amplicon (815),ILLUMINA,815 samples / 815 runs / ~22 Gbp,Exploring the maternal LEGACY during infant stool microbiome development,Rich (5 sample attributes): incl. delivery mode,Canada,2023-05-02
16S rRNA amplicon,Human associated vaginal and penile microbiome Metagenome,PRJNA516684,16S amplicon (759),ILLUMINA,759 samples / 759 runs / ~21 Gbp,Human associated vaginal and penile microbiome Metagenome,Moderate (4 sample attributes); mostly identifiers/technical fields,Kenya,2020-02-03
16S rRNA amplicon,Association of the vaginal microbiota with miscarriage and spontaneous,PRJNA1114047,16S amplicon (756),ILLUMINA,756 samples / 756 runs / ~28 Gbp,Association of the vaginal microbiota with miscarriage and spontaneous preterm/early term birth,Moderate (3 sample attributes); mostly identifiers/technical fields,USA,2024-06-23
16S rRNA amplicon,Vaginal microbiome samples during pregnancy week 24 (COPSAC) Raw seque,PRJNA576765,16S amplicon (731),ILLUMINA,731 samples / 731 runs / ~21 Gbp,"COPSAC pregnancy week-24 vaginal microbiome (Denmark, 16S).",Moderate (2 sample attributes); mostly identifiers/technical fields,Denmark,2019-10-11
16S rRNA amplicon,Vaginal Bacteria and Soluble Immune Mediators Associated with HIV Acqu,PRJNA881335,16S amplicon (707),ILLUMINA,707 samples / 707 runs / ~16 Gbp,Vaginal bacteria and immune mediators and HIV acquisition (16S).,Moderate (1 sample attributes); mostly identifiers/technical fields,USA,2023-01-27
16S rRNA amplicon,Preventing Vaginal Infections Study,PRJNA638104,16S amplicon (706),ILLUMINA,706 samples / 706 runs / ~17 Gbp,Preventing Vaginal Infections Study,Moderate (3 sample attributes); mostly identifiers/technical fields,USA,2021-04-26
16S rRNA amplicon,Effects of HIV and STI on the vaginal microbiome during pregnancy and ,PRJNA894713,16S amplicon (687),ILLUMINA,687 samples / 687 runs / ~151 Gbp,"HIV/STI effects on vaginal microbiome during pregnancy (South Africa, 16S).","Rich (5 sample attributes): incl. HIV status, STI status, longitudinal visit",South Africa,2022-11-03
16S rRNA amplicon,Vaginal microbiome samples during pregnancy week 36 (COPSAC) Raw seque,PRJNA579012,16S amplicon (665),ILLUMINA,665 samples / 665 runs / ~21 Gbp,Vaginal microbiome samples during pregnancy week 36 (COPSAC) Raw sequence reads,Moderate (2 sample attributes); mostly identifiers/technical fields,Denmark,2019-10-24
16S rRNA amplicon,Study of the vaginal microbiome during placebo-controlled oral yeast s,PRJEB63251,16S amplicon (646),ILLUMINA,646 samples / 646 runs / ~11 Gbp,Study of the vaginal microbiome during placebo-controlled oral yeast supplementation,Rich (1 sample attributes): incl. gestational age,France,2023-06-17
16S rRNA amplicon,Women4health cohort,PRJNA1222832,16S amplicon (589),ILLUMINA,589 samples / 589 runs / ~14 Gbp,Women4health cohort,"Rich (4 sample attributes): incl. longitudinal timepoint, ethnicity",Italy,2025-08-05
16S rRNA amplicon,Impact of maternal HIV infection on the dynamics of the infant microbi,PRJNA706727,16S amplicon (563),ILLUMINA,563 samples / 563 runs / ~13 Gbp,Impact of maternal HIV infection on the dynamics of the infant microbiota in the first eighteen months of life,Moderate (1 sample attributes); mostly identifiers/technical fields,Nigeria,2021-03-06
16S rRNA amplicon,Genetic associaiton with vaginal microbiome in Korean twins,PRJEB12500,16S amplicon (542),ILLUMINA,542 samples / 542 runs / ~8 Gbp,Genetic associaiton with vaginal microbiome in Korean twins,Moderate (5 sample attributes); mostly identifiers/technical fields,Not documented in SRA,2016-12-27
16S rRNA amplicon,Vaginal microbiota after antibiotics,PRJNA638549,16S amplicon (491),ILLUMINA,491 samples / 491 runs / ~68 Gbp,Vaginal microbiota after antibiotics,Moderate (1 sample attributes); mostly identifiers/technical fields,Sweden,2020-06-11
16S rRNA amplicon,Spontaneous preterm births and the vaginal microbiota. Upload 3 of 4,PRJNA898364,16S amplicon (489),ILLUMINA,489 samples / 489 runs / ~7 Gbp,Spontaneous preterm births and the vaginal microbiota. Upload 3 of 4,"Rich (23 sample attributes): incl. age, BMI, community state type, gestational age, delivery mode, ethnicity, race",USA,2024-05-11
16S rRNA amplicon,Spontaneous preterm births and the vaginal microbiota. Upload 4 of 4,PRJNA898385,16S amplicon (489),ILLUMINA,489 samples / 489 runs / ~6 Gbp,Spontaneous preterm births and the vaginal microbiota. Upload 4 of 4,"Rich (23 sample attributes): incl. age, BMI, community state type, gestational age, delivery mode, ethnicity, race",USA,2024-05-11
16S rRNA amplicon,The vaginal microbiome in Madagascar,PRJEB96883,16S amplicon (442),ILLUMINA,442 samples / 442 runs / ~46 Gbp,The vaginal microbiome in Madagascar,Minimal — MIMS environmental fields only (no clinical metadata in SRA),Madagascar,2026-03-31
16S rRNA amplicon,The vaginal microbiota and the oral contraceptive pill,PRJNA592384,16S amplicon (437),ILLUMINA,437 samples / 437 runs / ~5 Gbp,The vaginal microbiota and the oral contraceptive pill,Rich (5 sample attributes): incl. age,Australia,2020-12-09
16S rRNA amplicon,16S sequencing of cervicovaginal mucus during pregnancy,PRJNA942697,16S amplicon (432),ILLUMINA,432 samples / 432 runs / ~20 Gbp,16S sequencing of cervicovaginal mucus during pregnancy,Rich (2 sample attributes): incl. gestational age,USA,2023-04-13
16S rRNA amplicon,Human associated vaginal microbiome Metagenome,PRJNA549661,16S amplicon (438),ILLUMINA,428 samples / 438 runs / ~16 Gbp,Human associated vaginal microbiome Metagenome,Minimal — MIMS environmental fields only (no clinical metadata in SRA),Not documented in SRA,2020-02-03
Relevant — controlled/limited access,Ravel et al. 2011 — Vaginal microbiome of reproductive-age women (PNAS),454 16S; access route not verified in this survey — confirm current SRA/dbGaP location before use,16S rRNA (454 pyrosequencing),LS454,"396 women, cross-sectional",Foundational study defining vaginal community state types (CST I–V) across ethnic groups. Widely used reference; original clinical linkage historically controlled-access. Specific dbGaP/SRA accession NOT confirmed in this survey and must be looked up before use.,"Nugent score, pH, ethnicity, age (per publication; controlled-access clinical fields)",USA,2011
Relevant — controlled/limited access,"HMP1 vaginal (posterior fornix, mid-vagina, introitus)",HMP DACC (portal.hmpdacc.org); subject-level phenotypes via dbGaP controlled access — confirm accession before use,16S rRNA + some shotgun,LS454; ILLUMINA,~300 healthy adults (subset vaginal),"Human Microbiome Project reference cohort of healthy adults; vaginal body sites included. Sequence data open via HMP DACC, subject-level clinical metadata under dbGaP controlled access. Exact dbGaP accession NOT verified in this survey.","Body site, limited demographics (clinical via dbGaP)",USA,2012
